Salgo de #VeoTV  que da ms largoooooo...,neu
@PauladeLasHeras No te libraras de ayudar me/nos. Besos y gracias,neu
@marodriguezb Gracias MAR,pos
Off pensando en el regalito Sinde la que se va de la SGAE cuando se van sus corruptos. Intento no sacar conclusiones (lo intento),neg
Conozco a alguien q es adicto al drama! Ja ja ja te suena d algo!,pos
RT @FabHddzC: Si amas a alguien djalo libre. Si grita ese hombre es mo era @paurubio...,neu
Toca @crackoviadeTV3 . Grabacin dl especial Navideo...Mari crismas!,pos
Hoy asisitir en Madrid a un seminario sobre la Estrategia Espaola de Seguridad organizado por FAES.,neu
Buen da todos! Lo primero mandar un abrazo grande a Miguel y a su familia @libertadmontes Hoy podra ser un da para la grandeza humana.,pos
Desde el escao. Todo listo para empezar #endiascomohoy en el Congreso http://t.co/Mu2yIgCb,pos
Bdas. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo ms.,pos
Un sistema econmico q recorta dinero para prestaciones sociales y refuerza con billn y medio d euros a los bancos no necesita repensarse?,pos
#programascambiados caca d ajuste,neg
Buen viernes,pos
@adri_22_22: #programascambiados es TT gracias a @Carlos_Latre GRACIAS POR EL BUEN RATO AMIGOS!!;),pos
Noooooos das! Me he dormidoooooo ya estoy en el taxi camino al aeropuerto en 7 minutos vestida y maleta hecha. Que habr metido Dios mio!?,neu
Vamos a por el viernes (@ Ayuntamiento de Mlaga) [pic]: http://t.co/lzDVsoCu,neu
La Universidad confa en De la Calle para encarar sus retos ms ambiciosos http://t.co/7dzPPija,pos
Me ayudis a que #indultoneiro sea TT? Por si Zapatero quiere alguna sugerencia para el ltimo consejo de ministros http://t.co/Qao9uvsG,pos
abcdesevilla.es: Recio no tiene indicios potentes para denunciar a los responsables de los ERE http://t.co/wlDSs1yQ,neg
abcdesevilla.es: Cuatro altos cargos de Empleo denunciados por retirar la prejubilacin a extrabajadores http://t.co/LWHxzbuB,neg
La marcha atrs del PP en posponer devolucin CCAA es un resbaln. Debera asumir fallo y no mentir diciendo que no conoce estado cuentas,neg
Viernes negro: Aumenta el paro en Noviembre y disminuyen los afiliados a la Seguridad Social; esta es la triste #HerenciaPSOE,neg
Accidente en BUS-VAO A-6 km. 12. Motorista de 30 aos herido menos grave. @SAMUR_PC traslada a Hospital Doce de Octubre va @EmergenciasMad,neg
La verdadera seriedad es cmica. Niall Binns retrata a Nicanor Parra premio Cervantes. http://t.co/AxYtQ1by,pos
#FF a ti que deseas desesperadamente hacerme #FF pero no lo haces por el qu dirn.,neg
Mis #FF xa @merpastor x volver a sonrer a @GFVara x ser tan autentico a @24horas_rne x su subidn y a @CarmendelRiego x su victoria,pos
Agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto. Me he comprometido a mediar #sevillahoy,pos
#FF a @RdscubreNavidad por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!,pos
Hasta ahora los filsofos han tratado de comprender el mundo; de lo que se trata sin embargo es de cambiarlo,neu
Open Master Class@javiersolana &Pedro Alonso on Global Health Challenges&Global Governance@esadegeo@ISGLOBALorg http://t.co/UzhGWbiB .,neu
3.Tercer acto.Acuerdo Bancos centrales para dar un poco de tiempo.,pos
Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas.,neg
Eguiguren: el Gobierno ha negociado con ETA. Llevamos dos aos denuncindolo. http://t.co/gsDGB8NV,neg
No se ha aprobado la ley Sinde,neg
se puede entender que la misma solidaridad que pide el PV en sanidad la tenga el PV en cuanto a fiscalidad. La Rioja pierde siempre.,neu
Mucho nimo hoy para La Armada!! Espero que podis brindarnos la quinta Copa Davis!! MUCHA SUERTE!!! http://t.co/WHsk2vv6,pos
Blanco ministro portavoz en funciones desacredita de forma rotunda al pte del PSE Jess Eguiguren:no sabe de lo que habla no es cierto,neg
Desgraciadamente el paro en Espaa sigue creciendo. Madrid va mejorando con 8.000 cotizantes ms y 4.000 desempleados menos.,neg
En el blog: Defender la solidaridad http://t.co/8sDDYC8j,neu
#FF de vuelta ;-)) @Pepemaras @PopularesCyL @anamariavielba @marmarev @ajimnezvelayos @jmoreta23 @dllanosg @c_floriano,pos
Qu graciosos los laicos socialistas. Le meten el Amazing Grace a un anuncio de la DGT. Si se descuidan le ponen el Pange Lingua!,neg
Ya he presentado la credencial de diputado en el Congreso en plena jornada de puertas abiertas. #PSNPSOE,neu
El protocolo de IU supone aportar parte del salario pero no renunciar al seguro de vida accidente y a la prestacin social complementaria,neu
El post de hoy en mi blog http://t.co/nzhcgrxn,neu
Me encanta ver por aqui  a @TuDNIe ;-)),pos
si estn por Valencia Espaa les recomiendo esta exposicin !! http://t.co/hkjRpj9b,pos
La gran noche de los abanderados 2.0 - La Opinin de Mlaga http://t.co/yYu7uXtH,neu
@martacerame: @maria_rey Amigaaaaa!!!!! holaaaa guapaaaa!,pos
